"code","deaths_increase","pollution","density","GDP","doctors","population_aged_60","cases","NACE_B_E","day"
"EL43",4.8414564917687,18.5004689618982,76.5,57,610.65,25.2854656058721,34.642361,7.476231633535,229
"EL51",17.7639917283704,27.3604131725501,42.8,45,510.88,29.8580217937131,202.9525,12.5798525798526,124
"EL52",19.3509290093313,31.4868208020543,101.2,52,613.53,28.9226762217016,256.98386,13.9502113668389,204
"EL53",16.7709354036331,22.1037773308581,28.8,55,343.82,31.6541353383459,196.2066,14.6957520091848,78
"EL54",6.73982168464369,16.4156689038031,36.8,47,666.61,34.1587025340195,61.722652,8.10313075506446,224
"EL61",12.804075324824,24.3317942232398,51.4,51,531.19,31.5026254518504,175.11868,10.853950518755,136
"EL62",2.64913283781207,15.9268698492438,89.4,63,525.28,30.2694081683887,34.211342,4.72878998609179,213
"EL63",6.11584161621395,19.8145371025799,59.2,48,494.85,29.1780390590801,46.508411,9.05730129390018,124
"EL64",3.87195921886128,23.0794971219643,36.1,60,312.24,29.9727339110291,44.622143,20.1377848436672,224
"EL65",4.48136445486358,18.5080320175696,37.1,56,385.66,31.9468112438849,40.758472,8.38014981273408,112
"ES11",4.91178323881538,9.23703771212331,92,82,474.96,32.2233618689022,232.857938853874,16.9944998601659,69
"ES12",12.8340406009863,12.8,96.6,80,398.31,33.9582235334415,270.30157,14.1281512605042,70
"ES13",9.30222835402819,10.4,110.5,84,515.45,29.5140009752948,313.17609,16.6951323654996,69
"ES21",14.2670797325942,9.5263238105257,303.7,118,563.31,29.7383262270355,532.629736921994,20.7152202354993,62
"ES22",18.0689172642995,8.7,63.1,111,540.39,26.076565591637,651.88751,27.200862378728,64
"ES23",21.4117647058824,9.3,62.6,97,349.48,27.8092368270287,591.77478,24.7460087082729,60
"ES24",22.0672920212959,10.4945800077807,27.9,99,502.84,28.190460583929,601.766628994515,21.3382507903056,68
"ES30",45.2048434724869,13,839.7,124,519.84,23.6886600223979,606.39972,8.767663489977,59
"ES41",26.9768978045092,8.12283756939282,25.6,86,465.79,32.7684465168344,539.006471610115,17.0729177471217,66
"ES42",33.348689009175,12.4780493851719,25.8,72,282.57,25.06919885762,529.626686496582,15.6332205937617,64
"ES43",16.4429752066116,10.1185683858843,26,67,306.95,27.4558159812953,363.265198408377,10.637177461822,69
"ES51",24.432632308759,13.1585010060092,238.1,107,489.63,25.0998125019929,475.18226136579,17.6230492196879,65
"ES52",11.9584153808613,10.4484386594051,216.2,80,393.03,25.886433232505,352.081916188884,17.6479326565982,68
"ES61",12.1137420644043,15.0070117574363,97.4,68,371.83,23.4399215011224,314.349363193345,9.91686264118446,70
"ES62",10.0312437678655,11.9,132.4,75,452.19,21.3416583104576,412.8931,13.7510305028854,70
"ES63",23.6977944626936,13.8,4222.9,72,905.79,17.9853719450556,371.64774,3.92857142857143,73
"FI19",2.63722089557441,3.6687485015497,23.7,98,336.45,30.0575489681225,38.5376441662653,18.6544342507645,83
"FI1B",9.64228246070058,5.6,184.7,144,440.97,23.2278033407803,127.02067,10.0859126750618,74
"FI1C",2.84348312224085,4.38573604998042,36.6,99,337.75,32.2565229275223,49.6868885644223,17.0432025366627,85
"FI1D",3.47394540942929,3.69764502636141,6.3,93,365.74,31.6668974532892,31.8641999528898,14.2032762472077,86
"FR10",20.5958133100812,12.4575094867465,1026.8,178,386.9,20.353995836329,448.478569435275,7.22926900799179,80
"FRB0",9.7713498357149,9.376041668284,65.4,86,260.16,29.4918475316538,287.232545896393,16.8591913961362,86
"FRC1",12.3757230055708,8.95140704776264,51.3,87,295.55,31.9376687319759,411.333721392233,15.8275645059786,93
"FRC2",17.7829411897404,9.08655645648499,72.6,77,307.48,28.202867549286,433.694723713378,22.4553385957624,85
"FRD1",6.72037180480247,8.93900032355281,82.6,81,303.75,31.2245918642039,222.40275151001,15.5646162028009,91
"FRD2",11.8769033498958,10.5054618496397,151.2,87,274.59,26.62715304034,308.58577232537,18.5533306089089,91
"FRE1",11.30599985283,12.7674219909296,327.4,86,319.98,24.1517337631606,487.271402740696,15.3052393316024,99
"FRE2",14.3863736451068,11.4296382070128,99.4,76,257.53,25.6818515656102,301.11660759552,13.5572309801234,85
"FRF1",19.4803616196916,11.5934950933774,230.6,98,362.21,25.9452217298037,334.425984377955,20.7102758115694,85
"FRF2",10.6384573580946,10.742780924214,51.5,87,289.95,28.1541053337704,340.707267572041,17.2154696132597,87
"FRF3",17.3106360803813,10.1569118340143,98.6,75,302.64,27.8672596103603,343.039919665472,16.2204548000448,87
"FRG0",7.91144028415189,9.70156772940175,118.3,95,292.99,27.3430038227843,245.858175421715,17.9684988749598,143
"FRH0",3.86052657753022,8.6364387761743,122.4,89,325.67,29.4838744639014,166.069973729909,15.7643312101911,145
"FRI1",5.31815424146176,9.3339665288754,83.9,95,363.49,29.6413033291573,262.015248673595,11.6759109738117,94
"FRI2",3.97414350355527,7.90975047921931,42.9,74,337.16,34.3611661500882,231.668577954046,11.9503945885006,112
"FRI3",5.5173777623968,9.37948840206542,70,86,298.29,32.6472334810847,163.814840287834,14.6711166736198,113
"FRJ1",8.63571324531114,9.32840772948029,104.4,80,365.77,30.4073398953219,327.749193234641,7.2069519221687,84
"FRJ2",6.3216403370417,9.19312924853998,67.8,101,342.55,28.4835643400145,318.418644846006,12.5747560591753,94
"FRK1",10.5772029102668,8.0847473456115,52.6,87,311.28,31.6076453178988,395.07369806842,19.0861665767224,97
"FRK2",20.5989811145989,11.1329432084507,150.9,109,345.62,25.0405763257797,598.844101174453,16.374041756456,91
"FRL0",11.0565681504611,11.6257471540821,162.4,99,404.03,29.7642263581366,448.43392573293,7.95494901324134,84
"FRM0",8.92396907216495,8.0530513109889,39.6,86,301.69,30.4128465566244,208.345983309075,4.60725075528701,157
"HU11",8.73293108923468,20.2,3433.8,151,570.91,26.503357299899,352.82501,10.3278110680296,92
"HU12",11.9288119288119,18.8,205.1,58,258.85,23.2152136069484,311.62546,20.8904662042265,95
"HU21",11.5928502245311,16.1388055263863,99.1,67,244.93,26.6636499474431,324.91008754177,34.1744486389827,101
"HU22",14.0289763280817,16.1942114475348,88.6,71,283.58,26.9447759738334,385.752746299137,29.8774153334718,103
"HU23",8.1407903260635,18.9298844918997,63.7,50,359.37,29.2340376389392,286.494091176711,23.8986784140969,215
"HU31",10.7142857142857,20.5888682771776,84.4,49,240.1,27.1833767366931,315.007372322782,30.8363481591828,151
"HU32",12.1584137391004,18.967995242792,83.1,47,326.17,25.43392067431,325.107784193199,24.3056670412586,221
"HU33",10.2263637256691,19.1216013112617,68.1,53,358.32,28.5227610564262,327.651669857021,26.25250501002,119
"ITC1",25.4380992978232,22.7162912410763,172.3,102,370.31,32.6368865218336,452.644801961367,25.5046802751776,71
"ITC2",28.3018867924528,11,38.6,125,366.99,30.961978341891,560.32758,11.6883116883117,69
"ITC3",19.5567234091169,12.6488060808519,284.3,104,462.36,35.7272239586681,376.04291115747,13.2876483369547,72
"ITC4",38.8404118728129,24.9996867503742,435.8,127,372.88,29.1492123440879,464.726256059389,25.973493646673,62
"ITF1",8.69279326670174,11.7315690638738,120.5,82,435.45,31.0895164462676,269.448147401643,22.4159146841673,75
"ITF2",8.90870046202903,11.3236099971332,68.2,69,415.35,32.2967828668024,215.496015919019,18.4834123222749,79
"ITF3",9.78759457575855,14.2041283016309,422.2,61,390.99,25.5519513429548,331.754648614382,15.6011657468841,79
"ITF4",14.5119467739283,13.1845022795904,206.8,62,384.75,29.0784546094976,228.540427629834,15.0004100713524,79
"ITF5",7.65830392803133,10.210060224593,55.7,75,351.49,30.4655727748918,189.569349193354,18.6830835117773,81
"ITF6",6.3674462619981,11.7361911794041,126.5,56,388.11,28.889610423893,124.390876314149,8.38721947508559,80
"ITG1",8.17499061209162,12.0040328352359,192.1,58,441.16,28.1846003007001,192.07883085692,9.79664539112365,81
"ITG2",14.6803601994493,10.0178440962172,68.3,69,482.15,31.6936177922725,263.472561065119,8.54441669639672,78
"ITH1",25.0028194428781,10.2,72.2,155,324.38,25.7070388477107,553.72821,16.3556967050417,71
"ITH2",32.3558354654595,12.6,88.2,125,329.25,28.9185497547784,400.42169,17.9737176769818,71
"ITH3",19.4797811100846,23.1660119583603,282,108,345.71,29.8453229292991,511.94751489496,29.3165638348363,67
"ITH4",15.7353117147302,15.2227115000591,159.9,103,404.61,33.2188430596178,409.619834170762,25.7478005865103,71
"ITH5",19.982764512726,18.6127670779873,201.9,118,425.23,30.6598681621166,377.391372816294,26.47504546373,64
"ITI1",11.4280333510247,12.5829489982062,162.7,103,444.77,32.3351446356249,324.363488917078,20.2909599136014,73
"ITI2",8.38133640552996,11.408087676115,105.5,85,456.9,32.5754310964013,319.008464160763,20.2592279515356,75
"ITI3",15.5126808775478,11.9191840343811,161.9,90,382.59,31.8953480992575,265.536744109681,30.1901998710509,66
"ITI4",7.77634000828498,13.9963482795547,343,110,473.79,28.6620393696683,277.194786466951,10.1106251607924,77
"LV00",3.32314037205776,9.49595311253279,30.2,69,326.73,27.4292004665365,213.081368832254,15.0279955207167,86
"NL11",3.91076468216638,10.4423392810938,247.9,116,541.95,26.4492221770849,256.406761394773,10.7217939733707,83
"NL12",4.44055387553717,10.1285842374249,191,88,235.81,28.4674216909734,227.338119787263,11.4268066707844,86
"NL13",9.05930075333206,10.741039911182,184.5,87,293.35,30.645638285374,273.090773140625,11.5319865319865,84
"NL21",13.9115885448241,11.7270911842689,344.9,108,264.44,25.890953763143,464.717130470232,12.2033327722606,81
"NL22",13.9853576121644,11.7230515049311,415.8,108,368.74,27.0975075169515,423.077817962945,10.561797752809,78
"NL23",16.7414206738291,10.8,292.5,96,123.87,20.362109682498,461.86832,8.125,81
"NL31",12.8042117810669,11.3,934.6,158,587.1,22.8404274914704,506.78009,6.01471836965751,76
"NL32",11.9483641798157,11.1085286154072,1041.2,170,484.64,24.1064591511036,474.27928932599,6.44147682639434,80
"NL33",15.1162980494573,11.2269283621654,1292.2,126,366.49,24.3245798479235,540.119783030922,7.15982892444163,80
"NL34",6.69376349549091,11.6938021532204,212.6,103,163.86,30.8153058244326,272.811659679156,14.0020898641588,81
"NL41",18.6960880438016,11.8677744075595,514.8,130,263.4,26.9227512773342,486.247324300653,14.3089551135103,72
"NL42",17.5272171643216,11.3956513646866,517.7,113,350.69,31.5338958701254,424.954853176519,14.3954636912383,75
"PL21",23.404955827134,26.1217694576596,224,67,245.59,23.6009010793735,323.12698,20.9007403345215,96
"PL22",19.9919373472889,28.4669974113895,368.8,74,252.15,26.8893476871651,348.39099,31.8137414522957,94
"PL41",21.1280174914105,21.0726516447128,117.9,79,161.29,23.7322623059182,380.414,27.5314654354563,98
"PL42",19.7496367497485,15.3686082821907,76.6,60,252.07,26.6271038911705,376.09363,20.6207788475356,100
"PL43",22.2187937623128,17.4105269023935,72.6,59,204.28,25.3608158887809,314.27655,25.7615112160567,153
"PL51",19.7101993553031,19.7469984139378,144.9,80,222.14,26.9038180206778,310.09747,27.0140664961637,93
"PL52",22.7913600759554,21.8901894373679,101.4,57,213.21,26.7054964111849,389.34106,25.9850630955447,97
"PL61",20.6313834726091,20.2252232507916,116.8,58,249.93,25.2306706660634,417.98636,22.723609991942,94
"PL62",17.5025799793602,17.1803682155843,61.1,50,214.04,24.3251434199786,386.88013,23.0333097094259,125
"PL63",19.7855080434484,14.7377730335112,130.6,71,238.04,23.8850498783534,356.61996,21.6740088105727,113
"PL71",18.5173147862262,24.1336845874366,135.2,69,269.64,27.836172081132,349.63574,25.5535390199637,95
"PL72",22.5395937489075,20.7840865344989,105.1,52,241.18,27.4954604867474,289.27347,19.4407201685501,98
"PL81",20.3259098316133,19.76133121796,84,50,250.72,25.8664497110557,316.30154,17.8438228438228,102
"PL82",26.0290167958158,20.7411938378355,117.8,51,223.18,23.819890839153,285.84079,27.1519214653418,104
"PL84",18.6471809615077,16.6520675536563,57.5,52,255.99,25.2230532917924,299.27203,19.2883895131086,97
"PL91",20.3835536829871,22.61993629504,510.2,160,281.13,25.2979254145878,511.92917,13.695608582314,87
"PL92",21.5270004245957,20.0747729785235,79.5,63,281.13,24.5648297675542,680.4425,21.3895926719938,86
"PT11",17.8179288152545,6.8972442758207,169.3,68,531.76,27.8099301380737,100.175145235678,26.165191740413,86
"PT15",5.03521295453457,10.5,88.9,88,419.03,28.2341026354566,28.535192,5.60606060606061,87
"PT16",9.58401268721212,8.82107535248363,79.2,69,500.38,31.4155374703748,47.4454120472276,23.0671736375158,86
"PT17",14.4985425887941,12,1015.9,103,652.83,28.1186698294818,92.306984,10.4142288790077,88
"PT18",10.4804124704862,9.1438725391213,22.7,73,310.06,32.3994617902288,37.7825525572118,16.0923174201707,89
"RO11",17.9714085868549,16.6719519118228,75,64,335.01,24.2433842120821,308.126346591324,23.8401390095569,108
"RO12",18.9882882804552,16.7772683723532,68.2,66,321.08,25.4317603137342,344.479454228624,31.9058050383352,108
"RO21",14.519139665375,18.9810617865499,87.5,44,255.5,24.519010179903,278.238119537465,11.98606271777,108
"RO22",12.5528893835934,17.6399733989302,70.9,58,219.85,27.2900899036263,298.291907415348,20.5534431770173,108
"RO31",17.1536096986411,18.2384243625711,86.1,54,159.76,27.6528447191953,289.962417264108,22.5754527162978,108
"RO32",18.2532045113361,18.5798661949416,1321.9,160,617.92,22.9938647770329,537.953864244587,9.33263360447826,108
"RO41",12.1994624494326,18.061794981092,66.9,54,311.52,27.9725440991955,232.243461280815,21.6837041491281,115
"RO42",16.4077125662369,17.6919408242496,55.7,71,416.35,25.5559193442771,326.675992889866,39.1237402015677,108
"SE11",18.7314712433697,4.5,361.8,166,470.48,20.9044622375089,507.82452,5.05137657855518,71
"SE12",8.54849850343715,4.07192125686163,44.7,100,450.21,26.2548063619386,405.361121541804,13.6588993554784,77
"SE21",10.7233425914744,5.12361198442313,26.2,100,380.01,28.1955872213284,415.157443867444,17.9345209436688,81
"SE22",7.45483649668419,7.70383953532594,110.1,101,440.13,25.3406815126253,491.390522080487,10.1384421759195,73
"SE23",6.9379672545165,5.58040018753928,70.1,115,425.97,25.4055751994558,426.983359798595,13.5896939170864,75
"SE31",7.41379782543203,3.59815593357778,13.5,94,354.34,30.4054038299668,381.924131585475,13.4713701431493,82
"SE32",10.1120915812068,3.12808988764045,5.3,101,378.71,30.2240819657749,403.581493648556,11.1617312072893,78
"SE33",4.22901756668836,2.94851767157,3.4,115,447.13,28.8561961868735,315.40983079756,13.4782608695652,83
"SK01",8.51911154904135,15.2,328.8,162,648.52,23.443828480627,296.64334,14.7833723653396,81
"SK02",13.7540703985114,17.1477617655268,123,65,277.43,24.9556418714415,358.450959791319,35.9496567505721,98
"SK03",11.2931667891256,20.155585057443,82.7,57,330.86,23.2719547272,353.018627797305,27.7510426692332,99
"SK04",16.3119569423436,20.802987756825,103.9,50,347.6,21.0035116950011,320.371508963448,22.9097232285176,98
