"","deaths_increase"
"BE10",24.0082466807054
"BE21",14.7734614654514
"BE22",17.4968106568574
"BE23",15.5385062975324
"BE24",13.8169221180173
"BE25",16.9625238749347
"BE31",16.799003395167
"BE32",20.1228698417847
"BE33",23.6006659742137
"BE34",12.9929888742204
"BE35",17.1719041240969
"BG31",12.6146282580387
"BG32",17.7687716990375
"BG33",16.6942577542887
"BG34",14.9614705176977
"BG41",17.6125576249018
"BG42",20.2909433528276
"CZ01",13.6149327736295
"CZ02",17.3631714204665
"CZ03",17.1102862099637
"CZ04",20.2774443395398
"CZ05",17.7071657821824
"CZ06",19.0272686193564
"CZ07",22.9200971589077
"CZ08",20.7693173395632
"DK01",3.27543828467955
"DK02",4.74939470098725
"DK03",3.54825749913557
"DK04",3.18319630276434
"DK05",0.865622973501567
"DE1",7.67571151704758
"DE2",9.67469320895542
"DE3",10.3018731835426
"DE4",11.0896519068599
"DE5",5.51771955341631
"DE6",5.60408284499441
"DE7",8.03360355063301
"DE8",4.7823877672065
"DE9",4.81806155440403
"DEA",5.72734233980141
"DEB",5.78552169300079
"DEC",4.70456384100995
"DED",15.8919625729116
"DEE",6.03990025487546
"DEF",2.9212018874442
"DEG",5.69007739644904
"EE00",3.60903618643318
"EL30",5.20736152757104
"EL41",2.98534421047274
"EL42",6.06086584771302
"EL43",4.71065686683583
"EL51",17.6176211638981
"EL52",19.202155930016
"EL53",16.6250911160057
"EL54",6.60665854761966
"EL61",12.6639431580236
"EL62",2.52169718487147
"EL63",5.98369313432854
"EL64",3.7420826751611
"EL65",4.35100098558623
"ES11",4.78211277931455
"ES12",12.6948508840145
"ES13",9.16651291139896
"ES21",14.1252247298665
"ES22",17.9234317936175
"ES23",21.2598842565639
"ES24",21.9160273727898
"ES30",45.0239906252608
"ES41",26.8194167002307
"ES42",33.1835267224615
"ES43",16.2988583111296
"ES51",24.2781149550033
"ES52",11.8191329467504
"ES53",7.23207431078374
"ES61",11.974450895281
"ES62",9.89388298391287
"ES63",23.5435485386507
"ES64",22.6759060702485
"ES70",6.88819217771979
"FR10",20.4461988267227
"FRB0",9.63477727798581
"FRC1",12.2362026202057
"FRC2",17.6363849156308
"FRD1",6.5872576032052
"FRD2",11.7373935510284
"FRE1",11.1680418442485
"FRE2",14.244269884162
"FRF1",19.3314116908069
"FRF2",10.501536336425
"FRF3",17.1646070573036
"FRG0",7.77690449812465
"FRH0",3.73140706792061
"FRI1",5.18689206113538
"FRI2",3.84511854757659
"FRI3",5.3858605663502
